Epoch[1/1000] Learning-rate: 8e-05, Loss-Train: 631.0129, Loss-Test: 653.0325, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0080
Epoch[2/1000] Learning-rate: 8e-05, Loss-Train: 629.1431, Loss-Test: 646.6595, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0080
Epoch[3/1000] Learning-rate: 8e-05, Loss-Train: 620.4972, Loss-Test: 644.0004, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[4/1000] Learning-rate: 8e-05, Loss-Train: 619.7384, Loss-Test: 641.7993, Best-Accuracy-Train: 0.0080, Best-Accuracy-Test: 0.0000
Epoch[5/1000] Learning-rate: 8e-05, Loss-Train: 610.6505, Loss-Test: 628.2668, Best-Accuracy-Train: 0.0080, Best-Accuracy-Test: 0.0120
Epoch[6/1000] Learning-rate: 8e-05, Loss-Train: 601.1700, Loss-Test: 617.5294, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0040
Epoch[7/1000] Learning-rate: 8e-05, Loss-Train: 588.9164, Loss-Test: 603.2066, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0080
Epoch[8/1000] Learning-rate: 8e-05, Loss-Train: 567.3824, Loss-Test: 575.0164, Best-Accuracy-Train: 0.0093, Best-Accuracy-Test: 0.0040
Epoch[9/1000] Learning-rate: 8e-05, Loss-Train: 539.0843, Loss-Test: 538.8588, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[10/1000] Learning-rate: 8e-05, Loss-Train: 488.8739, Loss-Test: 482.3199, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[11/1000] Learning-rate: 8e-05, Loss-Train: 427.8042, Loss-Test: 414.7842, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0000
Epoch[12/1000] Learning-rate: 8e-05, Loss-Train: 357.1088, Loss-Test: 344.6342, Best-Accuracy-Train: 0.0107, Best-Accuracy-Test: 0.0000
Epoch[13/1000] Learning-rate: 8e-05, Loss-Train: 294.8381, Loss-Test: 299.4132, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0000
Epoch[14/1000] Learning-rate: 8e-05, Loss-Train: 256.3294, Loss-Test: 275.0806, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[15/1000] Learning-rate: 8e-05, Loss-Train: 237.4568, Loss-Test: 262.1445, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0000
Epoch[16/1000] Learning-rate: 8e-05, Loss-Train: 221.7857, Loss-Test: 246.7860, Best-Accuracy-Train: 0.0120, Best-Accuracy-Test: 0.0040
Epoch[17/1000] Learning-rate: 8e-05, Loss-Train: 207.1147, Loss-Test: 228.3671, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0120
Epoch[18/1000] Learning-rate: 8e-05, Loss-Train: 188.5799, Loss-Test: 205.4732, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[19/1000] Learning-rate: 8e-05, Loss-Train: 167.6421, Loss-Test: 179.9998, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0080
Epoch[20/1000] Learning-rate: 8e-05, Loss-Train: 143.6119, Loss-Test: 149.4109, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0080
Epoch[21/1000] Learning-rate: 8e-05, Loss-Train: 118.0615, Loss-Test: 117.1112, Best-Accuracy-Train: 0.0093, Best-Accuracy-Test: 0.0000
Epoch[22/1000] Learning-rate: 8e-05, Loss-Train: 91.9248, Loss-Test: 87.8192, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0160
Epoch[23/1000] Learning-rate: 8e-05, Loss-Train: 68.3486, Loss-Test: 64.3353, Best-Accuracy-Train: 0.0093, Best-Accuracy-Test: 0.0160
Epoch[24/1000] Learning-rate: 8e-05, Loss-Train: 52.0746, Loss-Test: 47.6690, Best-Accuracy-Train: 0.0093, Best-Accuracy-Test: 0.0040
Epoch[25/1000] Learning-rate: 8e-05, Loss-Train: 40.9259, Loss-Test: 37.4884, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0160
Epoch[26/1000] Learning-rate: 8e-05, Loss-Train: 34.5741, Loss-Test: 31.8894, Best-Accuracy-Train: 0.0120, Best-Accuracy-Test: 0.0160
Epoch[27/1000] Learning-rate: 8e-05, Loss-Train: 30.7353, Loss-Test: 28.4171, Best-Accuracy-Train: 0.0240, Best-Accuracy-Test: 0.0240
