Epoch[1/2000] Learning-rate: 0.003, Loss-Train: 730.8140, Loss-test: 730.8140 MEE-Train: 42.8785, MEE-test: 42.1321
Epoch[2/2000] Learning-rate: 0.003, Loss-Train: 651.5140, Loss-test: 651.5140 MEE-Train: 42.2192, MEE-test: 41.0113
Epoch[3/2000] Learning-rate: 0.003, Loss-Train: 547.3114, Loss-test: 547.3114 MEE-Train: 41.2851, MEE-test: 39.7451
Epoch[4/2000] Learning-rate: 0.003, Loss-Train: 474.7263, Loss-test: 474.7263 MEE-Train: 40.1904, MEE-test: 38.7930
Epoch[5/2000] Learning-rate: 0.003, Loss-Train: 436.6463, Loss-test: 436.6463 MEE-Train: 39.3075, MEE-test: 37.9995
Epoch[6/2000] Learning-rate: 0.003, Loss-Train: 287.6180, Loss-test: 287.6180 MEE-Train: 38.5086, MEE-test: 35.9793
Epoch[7/2000] Learning-rate: 0.003, Loss-Train: 322.6584, Loss-test: 322.6584 MEE-Train: 36.5798, MEE-test: 35.1178
Epoch[8/2000] Learning-rate: 0.003, Loss-Train: 139.1183, Loss-test: 139.1183 MEE-Train: 35.7229, MEE-test: 32.9582
Epoch[9/2000] Learning-rate: 0.003, Loss-Train: 130.0634, Loss-test: 130.0634 MEE-Train: 33.6546, MEE-test: 31.3375
Epoch[10/2000] Learning-rate: 0.003, Loss-Train: 99.1759, Loss-test: 99.1759 MEE-Train: 32.1157, MEE-test: 29.8344
Epoch[11/2000] Learning-rate: 0.003, Loss-Train: 113.7171, Loss-test: 113.7171 MEE-Train: 30.7404, MEE-test: 28.6991
Epoch[12/2000] Learning-rate: 0.003, Loss-Train: 79.8991, Loss-test: 79.8991 MEE-Train: 29.6878, MEE-test: 27.4711
Epoch[13/2000] Learning-rate: 0.003, Loss-Train: 67.3691, Loss-test: 67.3691 MEE-Train: 28.4989, MEE-test: 26.3491
Epoch[14/2000] Learning-rate: 0.003, Loss-Train: 68.6702, Loss-test: 68.6702 MEE-Train: 27.3754, MEE-test: 25.4258
Epoch[15/2000] Learning-rate: 0.003, Loss-Train: 50.8332, Loss-test: 50.8332 MEE-Train: 26.4387, MEE-test: 24.4856
Epoch[16/2000] Learning-rate: 0.003, Loss-Train: 54.0316, Loss-test: 54.0316 MEE-Train: 25.4758, MEE-test: 23.6778
Epoch[17/2000] Learning-rate: 0.003, Loss-Train: 47.3225, Loss-test: 47.3225 MEE-Train: 24.6415, MEE-test: 22.9095
Epoch[18/2000] Learning-rate: 0.003, Loss-Train: 43.7726, Loss-test: 43.7726 MEE-Train: 23.8549, MEE-test: 22.2192
Epoch[19/2000] Learning-rate: 0.003, Loss-Train: 38.0345, Loss-test: 38.0345 MEE-Train: 23.1552, MEE-test: 21.5727
Epoch[20/2000] Learning-rate: 0.003, Loss-Train: 30.7692, Loss-test: 30.7692 MEE-Train: 22.4973, MEE-test: 20.9328
Epoch[21/2000] Learning-rate: 0.003, Loss-Train: 33.1467, Loss-test: 33.1467 MEE-Train: 21.8455, MEE-test: 20.3683
Epoch[22/2000] Learning-rate: 0.003, Loss-Train: 31.8285, Loss-test: 31.8285 MEE-Train: 21.2719, MEE-test: 19.8398
Epoch[23/2000] Learning-rate: 0.003, Loss-Train: 29.8815, Loss-test: 29.8815 MEE-Train: 20.7365, MEE-test: 19.3479
Epoch[24/2000] Learning-rate: 0.003, Loss-Train: 26.9172, Loss-test: 26.9172 MEE-Train: 20.2395, MEE-test: 18.8792
Epoch[25/2000] Learning-rate: 0.003, Loss-Train: 25.8652, Loss-test: 25.8652 MEE-Train: 19.7629, MEE-test: 18.4410
Epoch[26/2000] Learning-rate: 0.003, Loss-Train: 25.9518, Loss-test: 25.9518 MEE-Train: 19.3090, MEE-test: 18.0342
Epoch[27/2000] Learning-rate: 0.003, Loss-Train: 24.9953, Loss-test: 24.9953 MEE-Train: 18.8849, MEE-test: 17.6483
Epoch[28/2000] Learning-rate: 0.003, Loss-Train: 24.4237, Loss-test: 24.4237 MEE-Train: 18.4854, MEE-test: 17.2882
Epoch[29/2000] Learning-rate: 0.003, Loss-Train: 22.6157, Loss-test: 22.6157 MEE-Train: 18.1140, MEE-test: 16.9419
Epoch[30/2000] Learning-rate: 0.003, Loss-Train: 22.2520, Loss-test: 22.2520 MEE-Train: 17.7564, MEE-test: 16.6187
Epoch[31/2000] Learning-rate: 0.003, Loss-Train: 21.7346, Loss-test: 21.7346 MEE-Train: 17.4192, MEE-test: 16.3141
Epoch[32/2000] Learning-rate: 0.003, Loss-Train: 20.6320, Loss-test: 20.6320 MEE-Train: 17.1008, MEE-test: 16.0227
