Epoch[1/300] Learning-rate: 0.001, Loss-Train: 91.1977, Loss-test: 296.3925 MEE-Train: 36.3991, MEE-test: 28.1277
Epoch[2/300] Learning-rate: 0.001, Loss-Train: 17.1463, Loss-test: 55.7253 MEE-Train: 26.9362, MEE-test: 20.0577
Epoch[3/300] Learning-rate: 0.001, Loss-Train: 9.9238, Loss-test: 32.2524 MEE-Train: 21.7152, MEE-test: 16.3165
Epoch[4/300] Learning-rate: 0.001, Loss-Train: 9.3751, Loss-test: 30.4691 MEE-Train: 18.4369, MEE-test: 14.3609
Epoch[5/300] Learning-rate: 0.001, Loss-Train: 7.3019, Loss-test: 23.7312 MEE-Train: 16.2492, MEE-test: 12.9744
Epoch[6/300] Learning-rate: 0.001, Loss-Train: 6.1082, Loss-test: 19.8517 MEE-Train: 14.6917, MEE-test: 11.9568
Epoch[7/300] Learning-rate: 0.001, Loss-Train: 5.3511, Loss-test: 17.3912 MEE-Train: 13.4915, MEE-test: 11.1643
Epoch[8/300] Learning-rate: 0.001, Loss-Train: 4.3841, Loss-test: 14.2482 MEE-Train: 12.5338, MEE-test: 10.4738
Epoch[9/300] Learning-rate: 0.001, Loss-Train: 3.4590, Loss-test: 11.2416 MEE-Train: 11.7201, MEE-test: 9.8702
Epoch[10/300] Learning-rate: 0.001, Loss-Train: 2.6362, Loss-test: 8.5677 MEE-Train: 11.0108, MEE-test: 9.3168
Epoch[11/300] Learning-rate: 0.001, Loss-Train: 2.3924, Loss-test: 7.7752 MEE-Train: 10.3744, MEE-test: 8.8309
Epoch[12/300] Learning-rate: 0.001, Loss-Train: 1.5788, Loss-test: 5.1311 MEE-Train: 9.7913, MEE-test: 8.3608
Epoch[13/300] Learning-rate: 0.001, Loss-Train: 1.1567, Loss-test: 3.7594 MEE-Train: 9.2681, MEE-test: 7.9351
Epoch[14/300] Learning-rate: 0.001, Loss-Train: 1.0765, Loss-test: 3.4986 MEE-Train: 8.7992, MEE-test: 7.5580
Epoch[15/300] Learning-rate: 0.001, Loss-Train: 0.8544, Loss-test: 2.7767 MEE-Train: 8.3814, MEE-test: 7.2178
Epoch[16/300] Learning-rate: 0.001, Loss-Train: 0.6543, Loss-test: 2.1263 MEE-Train: 8.0038, MEE-test: 6.8968
Epoch[17/300] Learning-rate: 0.001, Loss-Train: 0.6483, Loss-test: 2.1071 MEE-Train: 7.6633, MEE-test: 6.6111
Epoch[18/300] Learning-rate: 0.001, Loss-Train: 0.5996, Loss-test: 1.9486 MEE-Train: 7.3527, MEE-test: 6.3517
Epoch[19/300] Learning-rate: 0.001, Loss-Train: 0.7217, Loss-test: 2.3457 MEE-Train: 7.0673, MEE-test: 6.1325
Epoch[20/300] Learning-rate: 0.001, Loss-Train: 0.5522, Loss-test: 1.7948 MEE-Train: 6.8070, MEE-test: 5.9212
Epoch[21/300] Learning-rate: 0.001, Loss-Train: 0.4312, Loss-test: 1.4013 MEE-Train: 6.5676, MEE-test: 5.7196
