Epoch[1/300] Learning-rate: 0.003, Loss-Train: 25.5670, Loss-test: 83.0928 MEE-Train: 30.7842, MEE-test: 15.0073
Epoch[2/300] Learning-rate: 0.003, Loss-Train: 9.7083, Loss-test: 31.5518 MEE-Train: 21.0869, MEE-test: 11.8535
Epoch[3/300] Learning-rate: 0.003, Loss-Train: 6.6073, Loss-test: 21.4736 MEE-Train: 16.6950, MEE-test: 10.2593
Epoch[4/300] Learning-rate: 0.003, Loss-Train: 4.7282, Loss-test: 15.3667 MEE-Train: 14.1999, MEE-test: 9.1642
Epoch[5/300] Learning-rate: 0.003, Loss-Train: 3.3350, Loss-test: 10.8388 MEE-Train: 12.4778, MEE-test: 8.3539
Epoch[6/300] Learning-rate: 0.003, Loss-Train: 1.9143, Loss-test: 6.2214 MEE-Train: 11.1250, MEE-test: 7.5887
Epoch[7/300] Learning-rate: 0.003, Loss-Train: 1.2789, Loss-test: 4.1563 MEE-Train: 10.0177, MEE-test: 6.9243
Epoch[8/300] Learning-rate: 0.003, Loss-Train: 1.0594, Loss-test: 3.4432 MEE-Train: 9.1274, MEE-test: 6.3951
Epoch[9/300] Learning-rate: 0.003, Loss-Train: 0.7518, Loss-test: 2.4432 MEE-Train: 8.3916, MEE-test: 5.9455
Epoch[10/300] Learning-rate: 0.003, Loss-Train: 0.7021, Loss-test: 2.2818 MEE-Train: 7.7794, MEE-test: 5.5693
Epoch[11/300] Learning-rate: 0.003, Loss-Train: 0.6401, Loss-test: 2.0803 MEE-Train: 7.2634, MEE-test: 5.2544
Epoch[12/300] Learning-rate: 0.003, Loss-Train: 0.5877, Loss-test: 1.9099 MEE-Train: 6.8224, MEE-test: 4.9837
Epoch[13/300] Learning-rate: 0.003, Loss-Train: 0.4810, Loss-test: 1.5631 MEE-Train: 6.4388, MEE-test: 4.7453
Epoch[14/300] Learning-rate: 0.003, Loss-Train: 0.4156, Loss-test: 1.3508 MEE-Train: 6.1092, MEE-test: 4.5311
Epoch[15/300] Learning-rate: 0.003, Loss-Train: 0.3998, Loss-test: 1.2993 MEE-Train: 5.8111, MEE-test: 4.3418
Epoch[16/300] Learning-rate: 0.003, Loss-Train: 0.4138, Loss-test: 1.3449 MEE-Train: 5.5469, MEE-test: 4.1781
Epoch[17/300] Learning-rate: 0.003, Loss-Train: 0.4102, Loss-test: 1.3330 MEE-Train: 5.3104, MEE-test: 4.0331
Epoch[18/300] Learning-rate: 0.003, Loss-Train: 0.4280, Loss-test: 1.3909 MEE-Train: 5.1001, MEE-test: 3.8991
Epoch[19/300] Learning-rate: 0.003, Loss-Train: 0.2821, Loss-test: 0.9168 MEE-Train: 4.9074, MEE-test: 3.7687
Epoch[20/300] Learning-rate: 0.003, Loss-Train: 0.2886, Loss-test: 0.9379 MEE-Train: 4.7295, MEE-test: 3.6511
