Epoch[1/300] Learning-rate: 0.003, Loss-Train: 23.7684, Loss-test: 77.2472 MEE-Train: 28.7505, MEE-test: 14.0829
Epoch[2/300] Learning-rate: 0.003, Loss-Train: 9.4598, Loss-test: 30.7444 MEE-Train: 19.7677, MEE-test: 11.3308
Epoch[3/300] Learning-rate: 0.003, Loss-Train: 4.9548, Loss-test: 16.1029 MEE-Train: 15.6197, MEE-test: 9.6798
Epoch[4/300] Learning-rate: 0.003, Loss-Train: 2.1620, Loss-test: 7.0265 MEE-Train: 13.0531, MEE-test: 8.2720
Epoch[5/300] Learning-rate: 0.003, Loss-Train: 1.5586, Loss-test: 5.0654 MEE-Train: 11.1968, MEE-test: 7.2701
Epoch[6/300] Learning-rate: 0.003, Loss-Train: 1.4934, Loss-test: 4.8535 MEE-Train: 9.9056, MEE-test: 6.5889
Epoch[7/300] Learning-rate: 0.003, Loss-Train: 1.8247, Loss-test: 5.9303 MEE-Train: 8.9414, MEE-test: 6.1465
Epoch[8/300] Learning-rate: 0.003, Loss-Train: 0.9364, Loss-test: 3.0432 MEE-Train: 8.1852, MEE-test: 5.6853
Epoch[9/300] Learning-rate: 0.003, Loss-Train: 0.7752, Loss-test: 2.5193 MEE-Train: 7.5641, MEE-test: 5.3188
Epoch[10/300] Learning-rate: 0.003, Loss-Train: 0.6384, Loss-test: 2.0748 MEE-Train: 7.0572, MEE-test: 5.0025
Epoch[11/300] Learning-rate: 0.003, Loss-Train: 0.7890, Loss-test: 2.5642 MEE-Train: 6.6357, MEE-test: 4.7744
Epoch[12/300] Learning-rate: 0.003, Loss-Train: 0.7017, Loss-test: 2.2806 MEE-Train: 6.2782, MEE-test: 4.5666
Epoch[13/300] Learning-rate: 0.003, Loss-Train: 0.6108, Loss-test: 1.9850 MEE-Train: 5.9597, MEE-test: 4.3837
Epoch[14/300] Learning-rate: 0.003, Loss-Train: 0.5654, Loss-test: 1.8376 MEE-Train: 5.6791, MEE-test: 4.2144
Epoch[15/300] Learning-rate: 0.003, Loss-Train: 0.4634, Loss-test: 1.5061 MEE-Train: 5.4271, MEE-test: 4.0565
Epoch[16/300] Learning-rate: 0.003, Loss-Train: 0.4742, Loss-test: 1.5411 MEE-Train: 5.2043, MEE-test: 3.9190
Epoch[17/300] Learning-rate: 0.003, Loss-Train: 0.5097, Loss-test: 1.6566 MEE-Train: 5.0056, MEE-test: 3.8062
Epoch[18/300] Learning-rate: 0.003, Loss-Train: 0.4898, Loss-test: 1.5920 MEE-Train: 4.8315, MEE-test: 3.7019
Epoch[19/300] Learning-rate: 0.003, Loss-Train: 0.4060, Loss-test: 1.3196 MEE-Train: 4.6712, MEE-test: 3.5990
Epoch[20/300] Learning-rate: 0.003, Loss-Train: 0.4426, Loss-test: 1.4383 MEE-Train: 4.5238, MEE-test: 3.5080
Epoch[21/300] Learning-rate: 0.003, Loss-Train: 0.3820, Loss-test: 1.2416 MEE-Train: 4.3891, MEE-test: 3.4215
Epoch[22/300] Learning-rate: 0.003, Loss-Train: 0.3566, Loss-test: 1.1591 MEE-Train: 4.2637, MEE-test: 3.3399
Epoch[23/300] Learning-rate: 0.003, Loss-Train: 0.3608, Loss-test: 1.1728 MEE-Train: 4.1464, MEE-test: 3.2674
Epoch[24/300] Learning-rate: 0.003, Loss-Train: 0.3995, Loss-test: 1.2982 MEE-Train: 4.0401, MEE-test: 3.2037
Epoch[25/300] Learning-rate: 0.003, Loss-Train: 0.4320, Loss-test: 1.4039 MEE-Train: 3.9386, MEE-test: 3.1478
Epoch[26/300] Learning-rate: 0.003, Loss-Train: 0.2871, Loss-test: 0.9329 MEE-Train: 3.8458, MEE-test: 3.0816
Epoch[27/300] Learning-rate: 0.003, Loss-Train: 0.2853, Loss-test: 0.9272 MEE-Train: 3.7577, MEE-test: 3.0210
Epoch[28/300] Learning-rate: 0.003, Loss-Train: 0.2754, Loss-test: 0.8949 MEE-Train: 3.6739, MEE-test: 2.9644
Epoch[29/300] Learning-rate: 0.003, Loss-Train: 0.3419, Loss-test: 1.1111 MEE-Train: 3.5936, MEE-test: 2.9184
Epoch[30/300] Learning-rate: 0.003, Loss-Train: 0.2927, Loss-test: 0.9512 MEE-Train: 3.5202, MEE-test: 2.8691
Epoch[31/300] Learning-rate: 0.003, Loss-Train: 0.3083, Loss-test: 1.0021 MEE-Train: 3.4491, MEE-test: 2.8262
Epoch[32/300] Learning-rate: 0.003, Loss-Train: 0.2590, Loss-test: 0.8418 MEE-Train: 3.3843, MEE-test: 2.7809
Epoch[33/300] Learning-rate: 0.003, Loss-Train: 0.3799, Loss-test: 1.2348 MEE-Train: 3.3212, MEE-test: 2.7479
Epoch[34/300] Learning-rate: 0.003, Loss-Train: 0.2743, Loss-test: 0.8916 MEE-Train: 3.2617, MEE-test: 2.7087
Epoch[35/300] Learning-rate: 0.003, Loss-Train: 0.3402, Loss-test: 1.1057 MEE-Train: 3.2049, MEE-test: 2.6745
Epoch[36/300] Learning-rate: 0.003, Loss-Train: 0.2398, Loss-test: 0.7794 MEE-Train: 3.1511, MEE-test: 2.6373
Epoch[37/300] Learning-rate: 0.003, Loss-Train: 0.2295, Loss-test: 0.7458 MEE-Train: 3.0991, MEE-test: 2.5997
Epoch[38/300] Learning-rate: 0.003, Loss-Train: 0.2686, Loss-test: 0.8729 MEE-Train: 3.0494, MEE-test: 2.5687
Epoch[39/300] Learning-rate: 0.003, Loss-Train: 0.2242, Loss-test: 0.7288 MEE-Train: 3.0030, MEE-test: 2.5354
Epoch[40/300] Learning-rate: 0.003, Loss-Train: 0.2156, Loss-test: 0.7008 MEE-Train: 2.9576, MEE-test: 2.5027
Epoch[41/300] Learning-rate: 0.003, Loss-Train: 0.2205, Loss-test: 0.7165 MEE-Train: 2.9131, MEE-test: 2.4725
Epoch[42/300] Learning-rate: 0.003, Loss-Train: 0.2007, Loss-test: 0.6523 MEE-Train: 2.8709, MEE-test: 2.4427
Epoch[43/300] Learning-rate: 0.003, Loss-Train: 0.2660, Loss-test: 0.8646 MEE-Train: 2.8311, MEE-test: 2.4184
Epoch[44/300] Learning-rate: 0.003, Loss-Train: 0.2127, Loss-test: 0.6912 MEE-Train: 2.7916, MEE-test: 2.3922
Epoch[45/300] Learning-rate: 0.003, Loss-Train: 0.2919, Loss-test: 0.9485 MEE-Train: 2.7549, MEE-test: 2.3725
Epoch[46/300] Learning-rate: 0.003, Loss-Train: 0.2107, Loss-test: 0.6849 MEE-Train: 2.7206, MEE-test: 2.3479
Epoch[47/300] Learning-rate: 0.003, Loss-Train: 0.1858, Loss-test: 0.6037 MEE-Train: 2.6863, MEE-test: 2.3227
Epoch[48/300] Learning-rate: 0.003, Loss-Train: 0.2716, Loss-test: 0.8827 MEE-Train: 2.6530, MEE-test: 2.3040
Epoch[49/300] Learning-rate: 0.003, Loss-Train: 0.2108, Loss-test: 0.6850 MEE-Train: 2.6205, MEE-test: 2.2828
Epoch[50/300] Learning-rate: 0.003, Loss-Train: 0.1875, Loss-test: 0.6094 MEE-Train: 2.5890, MEE-test: 2.2609
Epoch[51/300] Learning-rate: 0.003, Loss-Train: 0.2014, Loss-test: 0.6545 MEE-Train: 2.5582, MEE-test: 2.2403
Epoch[52/300] Learning-rate: 0.003, Loss-Train: 0.1912, Loss-test: 0.6213 MEE-Train: 2.5291, MEE-test: 2.2197
