Epoch[1/300] Learning-rate: 0.003, Loss-Train: 24.8085, Loss-test: 80.6277 MEE-Train: 29.8245, MEE-test: 14.4653
Epoch[2/300] Learning-rate: 0.003, Loss-Train: 10.4914, Loss-test: 34.0970 MEE-Train: 20.7649, MEE-test: 11.8847
Epoch[3/300] Learning-rate: 0.003, Loss-Train: 7.0638, Loss-test: 22.9575 MEE-Train: 16.6216, MEE-test: 10.3769
Epoch[4/300] Learning-rate: 0.003, Loss-Train: 6.7277, Loss-test: 21.8649 MEE-Train: 14.2771, MEE-test: 9.5391
Epoch[5/300] Learning-rate: 0.003, Loss-Train: 3.9920, Loss-test: 12.9739 MEE-Train: 12.6698, MEE-test: 8.7288
Epoch[6/300] Learning-rate: 0.003, Loss-Train: 2.3915, Loss-test: 7.7724 MEE-Train: 11.3964, MEE-test: 7.9869
Epoch[7/300] Learning-rate: 0.003, Loss-Train: 1.5705, Loss-test: 5.1042 MEE-Train: 10.3277, MEE-test: 7.3216
Epoch[8/300] Learning-rate: 0.003, Loss-Train: 1.0396, Loss-test: 3.3786 MEE-Train: 9.4280, MEE-test: 6.7456
Epoch[9/300] Learning-rate: 0.003, Loss-Train: 0.8292, Loss-test: 2.6950 MEE-Train: 8.6776, MEE-test: 6.2584
Epoch[10/300] Learning-rate: 0.003, Loss-Train: 0.8004, Loss-test: 2.6013 MEE-Train: 8.0552, MEE-test: 5.8704
Epoch[11/300] Learning-rate: 0.003, Loss-Train: 0.8338, Loss-test: 2.7100 MEE-Train: 7.5284, MEE-test: 5.5575
Epoch[12/300] Learning-rate: 0.003, Loss-Train: 0.5224, Loss-test: 1.6979 MEE-Train: 7.0749, MEE-test: 5.2494
Epoch[13/300] Learning-rate: 0.003, Loss-Train: 0.6017, Loss-test: 1.9555 MEE-Train: 6.6826, MEE-test: 4.9987
Epoch[14/300] Learning-rate: 0.003, Loss-Train: 0.4229, Loss-test: 1.3744 MEE-Train: 6.3368, MEE-test: 4.7621
Epoch[15/300] Learning-rate: 0.003, Loss-Train: 0.5626, Loss-test: 1.8285 MEE-Train: 6.0313, MEE-test: 4.5721
Epoch[16/300] Learning-rate: 0.003, Loss-Train: 0.4710, Loss-test: 1.5306 MEE-Train: 5.7596, MEE-test: 4.3921
Epoch[17/300] Learning-rate: 0.003, Loss-Train: 0.4395, Loss-test: 1.4282 MEE-Train: 5.5163, MEE-test: 4.2326
Epoch[18/300] Learning-rate: 0.003, Loss-Train: 0.4116, Loss-test: 1.3377 MEE-Train: 5.2966, MEE-test: 4.0912
Epoch[19/300] Learning-rate: 0.003, Loss-Train: 0.2743, Loss-test: 0.8915 MEE-Train: 5.0970, MEE-test: 3.9472
