Epoch[1/200] Learning-rate: 0.0001, Loss-Train: 632.5900, Loss-Test: 656.3030, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0040
Epoch[2/200] Learning-rate: 0.0001, Loss-Train: 627.9691, Loss-Test: 646.4508, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0080
Epoch[3/200] Learning-rate: 0.0001, Loss-Train: 627.1473, Loss-Test: 646.2642, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0080
Epoch[4/200] Learning-rate: 0.0001, Loss-Train: 619.4018, Loss-Test: 642.4010, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0040
Epoch[5/200] Learning-rate: 0.0001, Loss-Train: 613.5801, Loss-Test: 630.6404, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[6/200] Learning-rate: 0.0001, Loss-Train: 606.9819, Loss-Test: 622.3893, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[7/200] Learning-rate: 0.0001, Loss-Train: 589.4422, Loss-Test: 600.1909, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[8/200] Learning-rate: 0.0001, Loss-Train: 566.4262, Loss-Test: 568.4804, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[9/200] Learning-rate: 0.0001, Loss-Train: 524.2903, Loss-Test: 521.2214, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0080
Epoch[10/200] Learning-rate: 0.0001, Loss-Train: 462.2664, Loss-Test: 444.6195, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0040
Epoch[11/200] Learning-rate: 0.0001, Loss-Train: 374.2223, Loss-Test: 354.0887, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[12/200] Learning-rate: 0.0001, Loss-Train: 292.9037, Loss-Test: 297.3512, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0160
Epoch[13/200] Learning-rate: 0.0001, Loss-Train: 247.9420, Loss-Test: 273.8425, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0000
Epoch[14/200] Learning-rate: 0.0001, Loss-Train: 227.8565, Loss-Test: 253.2431, Best-Accuracy-Train: 0.0133, Best-Accuracy-Test: 0.0120
Epoch[15/200] Learning-rate: 0.0001, Loss-Train: 209.3875, Loss-Test: 233.6615, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[16/200] Learning-rate: 0.0001, Loss-Train: 188.4273, Loss-Test: 204.3368, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0240
Epoch[17/200] Learning-rate: 0.0001, Loss-Train: 161.1400, Loss-Test: 170.7283, Best-Accuracy-Train: 0.0080, Best-Accuracy-Test: 0.0240
Epoch[18/200] Learning-rate: 0.0001, Loss-Train: 131.2228, Loss-Test: 130.6166, Best-Accuracy-Train: 0.0120, Best-Accuracy-Test: 0.0320
Epoch[19/200] Learning-rate: 0.0001, Loss-Train: 97.0985, Loss-Test: 92.2115, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0240
Epoch[20/200] Learning-rate: 0.0001, Loss-Train: 67.5766, Loss-Test: 61.0817, Best-Accuracy-Train: 0.0133, Best-Accuracy-Test: 0.0080
Epoch[21/200] Learning-rate: 0.0001, Loss-Train: 46.2158, Loss-Test: 40.5475, Best-Accuracy-Train: 0.0187, Best-Accuracy-Test: 0.0080
Epoch[22/200] Learning-rate: 0.0001, Loss-Train: 34.4315, Loss-Test: 30.5712, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0160
Epoch[23/200] Learning-rate: 0.0001, Loss-Train: 28.7471, Loss-Test: 25.8694, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0280
Epoch[24/200] Learning-rate: 0.0001, Loss-Train: 25.7668, Loss-Test: 23.0821, Best-Accuracy-Train: 0.0200, Best-Accuracy-Test: 0.0280
Epoch[25/200] Learning-rate: 0.0001, Loss-Train: 23.6774, Loss-Test: 21.1463, Best-Accuracy-Train: 0.0120, Best-Accuracy-Test: 0.0120
Epoch[26/200] Learning-rate: 0.0001, Loss-Train: 22.0339, Loss-Test: 19.5901, Best-Accuracy-Train: 0.0187, Best-Accuracy-Test: 0.0160
Epoch[27/200] Learning-rate: 0.0001, Loss-Train: 20.4565, Loss-Test: 18.3238, Best-Accuracy-Train: 0.0173, Best-Accuracy-Test: 0.0360
Epoch[28/200] Learning-rate: 0.0001, Loss-Train: 19.1924, Loss-Test: 17.3151, Best-Accuracy-Train: 0.0173, Best-Accuracy-Test: 0.0200
Epoch[29/200] Learning-rate: 0.0001, Loss-Train: 17.9774, Loss-Test: 16.2360, Best-Accuracy-Train: 0.0213, Best-Accuracy-Test: 0.0040
Epoch[30/200] Learning-rate: 0.0001, Loss-Train: 16.7818, Loss-Test: 15.3898, Best-Accuracy-Train: 0.0187, Best-Accuracy-Test: 0.0160
Epoch[31/200] Learning-rate: 0.0001, Loss-Train: 15.8884, Loss-Test: 14.5466, Best-Accuracy-Train: 0.0173, Best-Accuracy-Test: 0.0280
Epoch[32/200] Learning-rate: 0.0001, Loss-Train: 14.9913, Loss-Test: 13.9220, Best-Accuracy-Train: 0.0173, Best-Accuracy-Test: 0.0200
Epoch[33/200] Learning-rate: 0.0001, Loss-Train: 14.1834, Loss-Test: 13.3528, Best-Accuracy-Train: 0.0173, Best-Accuracy-Test: 0.0160
Epoch[34/200] Learning-rate: 0.0001, Loss-Train: 13.5505, Loss-Test: 12.8194, Best-Accuracy-Train: 0.0200, Best-Accuracy-Test: 0.0280
Epoch[35/200] Learning-rate: 0.0001, Loss-Train: 12.8578, Loss-Test: 12.2844, Best-Accuracy-Train: 0.0213, Best-Accuracy-Test: 0.0440
Epoch[36/200] Learning-rate: 0.0001, Loss-Train: 12.1827, Loss-Test: 11.8270, Best-Accuracy-Train: 0.0200, Best-Accuracy-Test: 0.0280
Epoch[37/200] Learning-rate: 0.0001, Loss-Train: 11.7283, Loss-Test: 11.3998, Best-Accuracy-Train: 0.0253, Best-Accuracy-Test: 0.0240
Epoch[38/200] Learning-rate: 0.0001, Loss-Train: 11.2718, Loss-Test: 11.0600, Best-Accuracy-Train: 0.0280, Best-Accuracy-Test: 0.0120
Epoch[39/200] Learning-rate: 0.0001, Loss-Train: 10.7837, Loss-Test: 10.7677, Best-Accuracy-Train: 0.0227, Best-Accuracy-Test: 0.0160
Epoch[40/200] Learning-rate: 0.0001, Loss-Train: 10.4803, Loss-Test: 10.4761, Best-Accuracy-Train: 0.0147, Best-Accuracy-Test: 0.0320
Epoch[41/200] Learning-rate: 0.0001, Loss-Train: 10.0654, Loss-Test: 10.1475, Best-Accuracy-Train: 0.0253, Best-Accuracy-Test: 0.0080
Epoch[42/200] Learning-rate: 0.0001, Loss-Train: 9.8914, Loss-Test: 9.9665, Best-Accuracy-Train: 0.0293, Best-Accuracy-Test: 0.0280
Epoch[43/200] Learning-rate: 0.0001, Loss-Train: 9.5996, Loss-Test: 9.7352, Best-Accuracy-Train: 0.0200, Best-Accuracy-Test: 0.0120
Epoch[44/200] Learning-rate: 0.0001, Loss-Train: 9.3222, Loss-Test: 9.5374, Best-Accuracy-Train: 0.0133, Best-Accuracy-Test: 0.0280
Epoch[45/200] Learning-rate: 0.0001, Loss-Train: 9.0509, Loss-Test: 9.3066, Best-Accuracy-Train: 0.0213, Best-Accuracy-Test: 0.0200
Epoch[46/200] Learning-rate: 0.0001, Loss-Train: 8.8090, Loss-Test: 9.1128, Best-Accuracy-Train: 0.0187, Best-Accuracy-Test: 0.0200
Epoch[47/200] Learning-rate: 0.0001, Loss-Train: 8.5858, Loss-Test: 8.8752, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0160
Epoch[48/200] Learning-rate: 0.0001, Loss-Train: 8.4467, Loss-Test: 8.7772, Best-Accuracy-Train: 0.0200, Best-Accuracy-Test: 0.0320
Epoch[49/200] Learning-rate: 0.0001, Loss-Train: 8.1790, Loss-Test: 8.5233, Best-Accuracy-Train: 0.0253, Best-Accuracy-Test: 0.0200
Epoch[50/200] Learning-rate: 0.0001, Loss-Train: 8.0107, Loss-Test: 8.4207, Best-Accuracy-Train: 0.0213, Best-Accuracy-Test: 0.0200
Epoch[51/200] Learning-rate: 0.0001, Loss-Train: 7.8979, Loss-Test: 8.2342, Best-Accuracy-Train: 0.0147, Best-Accuracy-Test: 0.0200
Epoch[52/200] Learning-rate: 0.0001, Loss-Train: 7.7056, Loss-Test: 8.1388, Best-Accuracy-Train: 0.0187, Best-Accuracy-Test: 0.0240
Epoch[53/200] Learning-rate: 0.0001, Loss-Train: 7.5497, Loss-Test: 7.9178, Best-Accuracy-Train: 0.0200, Best-Accuracy-Test: 0.0240
Epoch[54/200] Learning-rate: 0.0001, Loss-Train: 7.4093, Loss-Test: 7.7942, Best-Accuracy-Train: 0.0240, Best-Accuracy-Test: 0.0240
Epoch[55/200] Learning-rate: 0.0001, Loss-Train: 7.3656, Loss-Test: 7.6745, Best-Accuracy-Train: 0.0200, Best-Accuracy-Test: 0.0240
Epoch[56/200] Learning-rate: 0.0001, Loss-Train: 7.2205, Loss-Test: 7.5510, Best-Accuracy-Train: 0.0147, Best-Accuracy-Test: 0.0280
Epoch[57/200] Learning-rate: 0.0001, Loss-Train: 7.0132, Loss-Test: 7.3986, Best-Accuracy-Train: 0.0253, Best-Accuracy-Test: 0.0160
Epoch[58/200] Learning-rate: 0.0001, Loss-Train: 6.8979, Loss-Test: 7.2745, Best-Accuracy-Train: 0.0200, Best-Accuracy-Test: 0.0200
Epoch[59/200] Learning-rate: 0.0001, Loss-Train: 6.8306, Loss-Test: 7.1941, Best-Accuracy-Train: 0.0200, Best-Accuracy-Test: 0.0240
Epoch[60/200] Learning-rate: 0.0001, Loss-Train: 6.6417, Loss-Test: 7.0425, Best-Accuracy-Train: 0.0200, Best-Accuracy-Test: 0.0280
Epoch[61/200] Learning-rate: 0.0001, Loss-Train: 6.5868, Loss-Test: 6.9151, Best-Accuracy-Train: 0.0147, Best-Accuracy-Test: 0.0240
Epoch[62/200] Learning-rate: 0.0001, Loss-Train: 6.4608, Loss-Test: 6.8559, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0360
Epoch[63/200] Learning-rate: 0.0001, Loss-Train: 6.3484, Loss-Test: 6.7750, Best-Accuracy-Train: 0.0213, Best-Accuracy-Test: 0.0400
Epoch[64/200] Learning-rate: 0.0001, Loss-Train: 6.1914, Loss-Test: 6.6577, Best-Accuracy-Train: 0.0213, Best-Accuracy-Test: 0.0320
Epoch[65/200] Learning-rate: 0.0001, Loss-Train: 6.1209, Loss-Test: 6.5441, Best-Accuracy-Train: 0.0120, Best-Accuracy-Test: 0.0280
Epoch[66/200] Learning-rate: 0.0001, Loss-Train: 6.0267, Loss-Test: 6.5018, Best-Accuracy-Train: 0.0133, Best-Accuracy-Test: 0.0200
Epoch[67/200] Learning-rate: 0.0001, Loss-Train: 5.9219, Loss-Test: 6.4225, Best-Accuracy-Train: 0.0120, Best-Accuracy-Test: 0.0200
Epoch[68/200] Learning-rate: 0.0001, Loss-Train: 5.8645, Loss-Test: 6.3209, Best-Accuracy-Train: 0.0173, Best-Accuracy-Test: 0.0160
Epoch[69/200] Learning-rate: 0.0001, Loss-Train: 5.7614, Loss-Test: 6.2518, Best-Accuracy-Train: 0.0120, Best-Accuracy-Test: 0.0320
Epoch[70/200] Learning-rate: 0.0001, Loss-Train: 5.7000, Loss-Test: 6.1021, Best-Accuracy-Train: 0.0120, Best-Accuracy-Test: 0.0160
Epoch[71/200] Learning-rate: 0.0001, Loss-Train: 5.6902, Loss-Test: 6.0699, Best-Accuracy-Train: 0.0093, Best-Accuracy-Test: 0.0120
Epoch[72/200] Learning-rate: 0.0001, Loss-Train: 5.5970, Loss-Test: 5.9385, Best-Accuracy-Train: 0.0173, Best-Accuracy-Test: 0.0080
Epoch[73/200] Learning-rate: 0.0001, Loss-Train: 5.5049, Loss-Test: 5.8931, Best-Accuracy-Train: 0.0173, Best-Accuracy-Test: 0.0120
Epoch[74/200] Learning-rate: 0.0001, Loss-Train: 5.3630, Loss-Test: 5.8473, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0080
Epoch[75/200] Learning-rate: 0.0001, Loss-Train: 5.3543, Loss-Test: 5.7723, Best-Accuracy-Train: 0.0133, Best-Accuracy-Test: 0.0040
Epoch[76/200] Learning-rate: 0.0001, Loss-Train: 5.2473, Loss-Test: 5.6669, Best-Accuracy-Train: 0.0093, Best-Accuracy-Test: 0.0200
Epoch[77/200] Learning-rate: 0.0001, Loss-Train: 5.1794, Loss-Test: 5.6405, Best-Accuracy-Train: 0.0147, Best-Accuracy-Test: 0.0040
Epoch[78/200] Learning-rate: 0.0001, Loss-Train: 5.1349, Loss-Test: 5.5212, Best-Accuracy-Train: 0.0147, Best-Accuracy-Test: 0.0280
Epoch[79/200] Learning-rate: 0.0001, Loss-Train: 5.0598, Loss-Test: 5.4991, Best-Accuracy-Train: 0.0133, Best-Accuracy-Test: 0.0160
Epoch[80/200] Learning-rate: 0.0001, Loss-Train: 4.9801, Loss-Test: 5.4168, Best-Accuracy-Train: 0.0187, Best-Accuracy-Test: 0.0200
Epoch[81/200] Learning-rate: 0.0001, Loss-Train: 4.9424, Loss-Test: 5.3827, Best-Accuracy-Train: 0.0147, Best-Accuracy-Test: 0.0200
Epoch[82/200] Learning-rate: 0.0001, Loss-Train: 4.8535, Loss-Test: 5.3015, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0240
Epoch[83/200] Learning-rate: 0.0001, Loss-Train: 4.8271, Loss-Test: 5.2950, Best-Accuracy-Train: 0.0173, Best-Accuracy-Test: 0.0280
Epoch[84/200] Learning-rate: 0.0001, Loss-Train: 4.7875, Loss-Test: 5.1976, Best-Accuracy-Train: 0.0120, Best-Accuracy-Test: 0.0160
Epoch[85/200] Learning-rate: 0.0001, Loss-Train: 4.7346, Loss-Test: 5.1509, Best-Accuracy-Train: 0.0147, Best-Accuracy-Test: 0.0160
Epoch[86/200] Learning-rate: 0.0001, Loss-Train: 4.6463, Loss-Test: 5.0886, Best-Accuracy-Train: 0.0133, Best-Accuracy-Test: 0.0200
Epoch[87/200] Learning-rate: 0.0001, Loss-Train: 4.6251, Loss-Test: 5.1002, Best-Accuracy-Train: 0.0187, Best-Accuracy-Test: 0.0280
Epoch[88/200] Learning-rate: 0.0001, Loss-Train: 4.5458, Loss-Test: 4.9699, Best-Accuracy-Train: 0.0080, Best-Accuracy-Test: 0.0200
Epoch[89/200] Learning-rate: 0.0001, Loss-Train: 4.5247, Loss-Test: 4.9809, Best-Accuracy-Train: 0.0093, Best-Accuracy-Test: 0.0240
Epoch[90/200] Learning-rate: 0.0001, Loss-Train: 4.4778, Loss-Test: 4.9181, Best-Accuracy-Train: 0.0080, Best-Accuracy-Test: 0.0200
Epoch[91/200] Learning-rate: 0.0001, Loss-Train: 4.4059, Loss-Test: 4.8353, Best-Accuracy-Train: 0.0200, Best-Accuracy-Test: 0.0200
Epoch[92/200] Learning-rate: 0.0001, Loss-Train: 4.3805, Loss-Test: 4.8158, Best-Accuracy-Train: 0.0147, Best-Accuracy-Test: 0.0320
Epoch[93/200] Learning-rate: 0.0001, Loss-Train: 4.3581, Loss-Test: 4.7604, Best-Accuracy-Train: 0.0187, Best-Accuracy-Test: 0.0320
Epoch[94/200] Learning-rate: 0.0001, Loss-Train: 4.2881, Loss-Test: 4.7576, Best-Accuracy-Train: 0.0120, Best-Accuracy-Test: 0.0240
Epoch[95/200] Learning-rate: 0.0001, Loss-Train: 4.2718, Loss-Test: 4.6782, Best-Accuracy-Train: 0.0187, Best-Accuracy-Test: 0.0240
Epoch[96/200] Learning-rate: 0.0001, Loss-Train: 4.2270, Loss-Test: 4.6695, Best-Accuracy-Train: 0.0120, Best-Accuracy-Test: 0.0320
Epoch[97/200] Learning-rate: 0.0001, Loss-Train: 4.2271, Loss-Test: 4.6490, Best-Accuracy-Train: 0.0173, Best-Accuracy-Test: 0.0200
Epoch[98/200] Learning-rate: 0.0001, Loss-Train: 4.1374, Loss-Test: 4.6018, Best-Accuracy-Train: 0.0093, Best-Accuracy-Test: 0.0320
Epoch[99/200] Learning-rate: 0.0001, Loss-Train: 4.1142, Loss-Test: 4.5269, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0280
Epoch[100/200] Learning-rate: 0.0001, Loss-Train: 4.1274, Loss-Test: 4.4963, Best-Accuracy-Train: 0.0147, Best-Accuracy-Test: 0.0160
Epoch[101/200] Learning-rate: 0.0001, Loss-Train: 4.0418, Loss-Test: 4.4632, Best-Accuracy-Train: 0.0107, Best-Accuracy-Test: 0.0240
Epoch[102/200] Learning-rate: 0.0001, Loss-Train: 4.0044, Loss-Test: 4.4463, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0120
Epoch[103/200] Learning-rate: 0.0001, Loss-Train: 3.9745, Loss-Test: 4.3997, Best-Accuracy-Train: 0.0120, Best-Accuracy-Test: 0.0240
Epoch[104/200] Learning-rate: 0.0001, Loss-Train: 3.9454, Loss-Test: 4.3644, Best-Accuracy-Train: 0.0200, Best-Accuracy-Test: 0.0280
Epoch[105/200] Learning-rate: 0.0001, Loss-Train: 3.9019, Loss-Test: 4.2924, Best-Accuracy-Train: 0.0213, Best-Accuracy-Test: 0.0360
Epoch[106/200] Learning-rate: 0.0001, Loss-Train: 3.8398, Loss-Test: 4.2945, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0240
Epoch[107/200] Learning-rate: 0.0001, Loss-Train: 3.8211, Loss-Test: 4.2546, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0240
Epoch[108/200] Learning-rate: 0.0001, Loss-Train: 3.7934, Loss-Test: 4.2148, Best-Accuracy-Train: 0.0240, Best-Accuracy-Test: 0.0200
Epoch[109/200] Learning-rate: 0.0001, Loss-Train: 3.7703, Loss-Test: 4.1983, Best-Accuracy-Train: 0.0227, Best-Accuracy-Test: 0.0120
Epoch[110/200] Learning-rate: 0.0001, Loss-Train: 3.7461, Loss-Test: 4.1414, Best-Accuracy-Train: 0.0213, Best-Accuracy-Test: 0.0160
Epoch[111/200] Learning-rate: 0.0001, Loss-Train: 3.6892, Loss-Test: 4.1151, Best-Accuracy-Train: 0.0200, Best-Accuracy-Test: 0.0280
Epoch[112/200] Learning-rate: 0.0001, Loss-Train: 3.7494, Loss-Test: 4.0941, Best-Accuracy-Train: 0.0187, Best-Accuracy-Test: 0.0240
Epoch[113/200] Learning-rate: 0.0001, Loss-Train: 3.6411, Loss-Test: 4.0453, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0320
Epoch[114/200] Learning-rate: 0.0001, Loss-Train: 3.6326, Loss-Test: 4.0572, Best-Accuracy-Train: 0.0147, Best-Accuracy-Test: 0.0240
Epoch[115/200] Learning-rate: 0.0001, Loss-Train: 3.6071, Loss-Test: 4.0138, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0240
Epoch[116/200] Learning-rate: 0.0001, Loss-Train: 3.5894, Loss-Test: 3.9981, Best-Accuracy-Train: 0.0253, Best-Accuracy-Test: 0.0240
Epoch[117/200] Learning-rate: 0.0001, Loss-Train: 3.5307, Loss-Test: 3.9920, Best-Accuracy-Train: 0.0293, Best-Accuracy-Test: 0.0320
Epoch[118/200] Learning-rate: 0.0001, Loss-Train: 3.5329, Loss-Test: 3.9053, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0240
Epoch[119/200] Learning-rate: 0.0001, Loss-Train: 3.5043, Loss-Test: 3.9135, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0320
Epoch[120/200] Learning-rate: 0.0001, Loss-Train: 3.4850, Loss-Test: 3.8749, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0360
Epoch[121/200] Learning-rate: 0.0001, Loss-Train: 3.4522, Loss-Test: 3.8110, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0440
Epoch[122/200] Learning-rate: 0.0001, Loss-Train: 3.4473, Loss-Test: 3.8301, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0360
Epoch[123/200] Learning-rate: 0.0001, Loss-Train: 3.4102, Loss-Test: 3.8154, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0280
Epoch[124/200] Learning-rate: 0.0001, Loss-Train: 3.3730, Loss-Test: 3.7624, Best-Accuracy-Train: 0.0133, Best-Accuracy-Test: 0.0320
Epoch[125/200] Learning-rate: 0.0001, Loss-Train: 3.3704, Loss-Test: 3.7771, Best-Accuracy-Train: 0.0200, Best-Accuracy-Test: 0.0240
Epoch[126/200] Learning-rate: 0.0001, Loss-Train: 3.3417, Loss-Test: 3.7258, Best-Accuracy-Train: 0.0227, Best-Accuracy-Test: 0.0280
Epoch[127/200] Learning-rate: 0.0001, Loss-Train: 3.3260, Loss-Test: 3.7133, Best-Accuracy-Train: 0.0213, Best-Accuracy-Test: 0.0360
Epoch[128/200] Learning-rate: 0.0001, Loss-Train: 3.2706, Loss-Test: 3.7006, Best-Accuracy-Train: 0.0173, Best-Accuracy-Test: 0.0320
Epoch[129/200] Learning-rate: 0.0001, Loss-Train: 3.2632, Loss-Test: 3.6643, Best-Accuracy-Train: 0.0240, Best-Accuracy-Test: 0.0360
Epoch[130/200] Learning-rate: 0.0001, Loss-Train: 3.2532, Loss-Test: 3.6468, Best-Accuracy-Train: 0.0200, Best-Accuracy-Test: 0.0240
Epoch[131/200] Learning-rate: 0.0001, Loss-Train: 3.2405, Loss-Test: 3.6142, Best-Accuracy-Train: 0.0147, Best-Accuracy-Test: 0.0400
Epoch[132/200] Learning-rate: 0.0001, Loss-Train: 3.2042, Loss-Test: 3.5625, Best-Accuracy-Train: 0.0147, Best-Accuracy-Test: 0.0360
