Epoch[1/3000] Learning-rate: 0.001, Loss-Train: 746.5102, Loss-Test: 758.2241, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0040
Epoch[2/3000] Learning-rate: 0.001, Loss-Train: 711.9365, Loss-Test: 708.0623, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0040
Epoch[3/3000] Learning-rate: 0.001, Loss-Train: 658.5511, Loss-Test: 644.3398, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0080
Epoch[4/3000] Learning-rate: 0.001, Loss-Train: 594.8843, Loss-Test: 580.5766, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0040
Epoch[5/3000] Learning-rate: 0.001, Loss-Train: 542.2360, Loss-Test: 529.9922, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[6/3000] Learning-rate: 0.001, Loss-Train: 492.6413, Loss-Test: 487.4914, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[7/3000] Learning-rate: 0.001, Loss-Train: 455.9276, Loss-Test: 449.0467, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0040
Epoch[8/3000] Learning-rate: 0.001, Loss-Train: 422.5329, Loss-Test: 416.5086, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[9/3000] Learning-rate: 0.001, Loss-Train: 390.7566, Loss-Test: 389.3299, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0040
Epoch[10/3000] Learning-rate: 0.001, Loss-Train: 366.1210, Loss-Test: 362.9895, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[11/3000] Learning-rate: 0.001, Loss-Train: 340.9001, Loss-Test: 339.9833, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0040
Epoch[12/3000] Learning-rate: 0.001, Loss-Train: 321.0236, Loss-Test: 319.7794, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[13/3000] Learning-rate: 0.001, Loss-Train: 302.0363, Loss-Test: 302.0084, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[14/3000] Learning-rate: 0.001, Loss-Train: 284.1761, Loss-Test: 284.6652, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[15/3000] Learning-rate: 0.001, Loss-Train: 269.0393, Loss-Test: 269.3899, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[16/3000] Learning-rate: 0.001, Loss-Train: 252.6912, Loss-Test: 252.1772, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[17/3000] Learning-rate: 0.001, Loss-Train: 239.6825, Loss-Test: 239.9170, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0040
Epoch[18/3000] Learning-rate: 0.001, Loss-Train: 227.5391, Loss-Test: 229.0113, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[19/3000] Learning-rate: 0.001, Loss-Train: 217.0070, Loss-Test: 217.6474, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0040
Epoch[20/3000] Learning-rate: 0.001, Loss-Train: 206.1239, Loss-Test: 205.6346, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0040
Epoch[21/3000] Learning-rate: 0.001, Loss-Train: 196.0244, Loss-Test: 196.4602, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0040
Epoch[22/3000] Learning-rate: 0.001, Loss-Train: 185.4411, Loss-Test: 188.2084, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[23/3000] Learning-rate: 0.001, Loss-Train: 176.5263, Loss-Test: 178.0153, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0040
Epoch[24/3000] Learning-rate: 0.001, Loss-Train: 169.5928, Loss-Test: 170.2387, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0040
Epoch[25/3000] Learning-rate: 0.001, Loss-Train: 161.0181, Loss-Test: 162.7323, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[26/3000] Learning-rate: 0.001, Loss-Train: 154.2607, Loss-Test: 154.5161, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[27/3000] Learning-rate: 0.001, Loss-Train: 148.0448, Loss-Test: 147.9067, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[28/3000] Learning-rate: 0.001, Loss-Train: 140.6944, Loss-Test: 141.1734, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0040
Epoch[29/3000] Learning-rate: 0.001, Loss-Train: 134.1043, Loss-Test: 134.4233, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[30/3000] Learning-rate: 0.001, Loss-Train: 127.8537, Loss-Test: 127.8744, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[31/3000] Learning-rate: 0.001, Loss-Train: 122.4903, Loss-Test: 122.1619, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[32/3000] Learning-rate: 0.001, Loss-Train: 116.5930, Loss-Test: 116.5968, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[33/3000] Learning-rate: 0.001, Loss-Train: 111.7727, Loss-Test: 111.7083, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0160
