Epoch[1/1000] Learning-rate: 1e-05, Loss-Train: 630.1304, Loss-Test: 654.4028, Best-Accuracy-Train: 0.0107, Best-Accuracy-Test: 0.0040
Epoch[2/1000] Learning-rate: 1e-05, Loss-Train: 631.3767, Loss-Test: 652.7571, Best-Accuracy-Train: 0.0107, Best-Accuracy-Test: 0.0040
Epoch[3/1000] Learning-rate: 1e-05, Loss-Train: 623.9942, Loss-Test: 652.1046, Best-Accuracy-Train: 0.0120, Best-Accuracy-Test: 0.0000
Epoch[4/1000] Learning-rate: 1e-05, Loss-Train: 629.1678, Loss-Test: 649.4041, Best-Accuracy-Train: 0.0093, Best-Accuracy-Test: 0.0040
Epoch[5/1000] Learning-rate: 1e-05, Loss-Train: 626.7433, Loss-Test: 649.7011, Best-Accuracy-Train: 0.0120, Best-Accuracy-Test: 0.0040
Epoch[6/1000] Learning-rate: 1e-05, Loss-Train: 634.3344, Loss-Test: 650.8380, Best-Accuracy-Train: 0.0120, Best-Accuracy-Test: 0.0040
Epoch[7/1000] Learning-rate: 1e-05, Loss-Train: 622.3327, Loss-Test: 648.0364, Best-Accuracy-Train: 0.0107, Best-Accuracy-Test: 0.0040
Epoch[8/1000] Learning-rate: 1e-05, Loss-Train: 627.0395, Loss-Test: 648.2117, Best-Accuracy-Train: 0.0120, Best-Accuracy-Test: 0.0000
Epoch[9/1000] Learning-rate: 1e-05, Loss-Train: 623.3967, Loss-Test: 648.9787, Best-Accuracy-Train: 0.0107, Best-Accuracy-Test: 0.0000
Epoch[10/1000] Learning-rate: 1e-05, Loss-Train: 625.0056, Loss-Test: 650.1352, Best-Accuracy-Train: 0.0107, Best-Accuracy-Test: 0.0000
Epoch[11/1000] Learning-rate: 1e-05, Loss-Train: 627.6641, Loss-Test: 648.0427, Best-Accuracy-Train: 0.0133, Best-Accuracy-Test: 0.0000
Epoch[12/1000] Learning-rate: 1e-05, Loss-Train: 623.3077, Loss-Test: 645.0000, Best-Accuracy-Train: 0.0093, Best-Accuracy-Test: 0.0000
Epoch[13/1000] Learning-rate: 1e-05, Loss-Train: 620.1288, Loss-Test: 647.3211, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0040
Epoch[14/1000] Learning-rate: 1e-05, Loss-Train: 622.0713, Loss-Test: 646.5459, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0040
